task_idx,prompt,sample_idx,duration_s,ram_gb,vram_gb,out_path,status
43,a large wave crashes over a rocky cliff,0,7.95,5.49,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a large wave crashes over a rocky cliff-0.mp4,no_render
44,the sun is setting over a lake in the mountains,0,7.87,5.45,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\the sun is setting over a lake in the mountains-0.mp4,no_render
45,a mountain range with snow on the ground,0,1.83,5.18,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a mountain range with snow on the ground-0.mp4,no_render
46,sun rays shining through clouds over a lake,0,1.69,5.12,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\sun rays shining through clouds over a lake-0.mp4,no_render
47,a boat sits on the shore of a lake with mt fuji in the background,0,1.98,5.12,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-0.mp4,no_render
48,a foggy road with trees in the distance,0,1.71,5.07,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a foggy road with trees in the distance-0.mp4,no_render
49,two swans swimming on a lake in the fog,0,1.58,5.05,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\two swans swimming on a lake in the fog-0.mp4,no_render
50,the sun is shining through the trees near a waterfall,0,1.80,5.10,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\the sun is shining through the trees near a waterfall-0.mp4,no_render
51,a sandy beach with palm trees on the shore,0,1.56,4.99,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a sandy beach with palm trees on the shore-0.mp4,no_render
52,an aerial view of a body of water and a beach,0,1.65,5.02,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\an aerial view of a body of water and a beach-0.mp4,no_render
53,a foggy field that has trees in the grass,0,1.61,4.97,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a foggy field that has trees in the grass-0.mp4,no_render
54,a foggy landscape with trees and hills in the distance,0,1.64,4.95,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a foggy landscape with trees and hills in the distance-0.mp4,no_render
55,a large wave in the ocean with a lot of spray coming from it,0,1.62,4.94,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a large wave in the ocean with a lot of spray coming from it-0.mp4,no_render
56,a waterfall is shown in the middle of a lush green hillside,0,1.64,4.93,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a waterfall is shown in the middle of a lush green hillside-0.mp4,no_render
57,an aerial view of a curvy road in the middle of a forest,0,1.78,4.89,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\an aerial view of a curvy road in the middle of a forest-0.mp4,no_render
58,a mountain covered in snow with evergreen trees,0,1.90,4.87,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a mountain covered in snow with evergreen trees-0.mp4,no_render
59,a very large waterfall in the middle of the day,0,5.20,5.26,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a very large waterfall in the middle of the day-0.mp4,no_render
60,a large waterfall in the middle of a lush green hillside,0,4.35,4.99,2.38,C:\workspace\world\HY-World-2.0\results_vbench\videos\a large waterfall in the middle of a lush green hillside-0.mp4,no_render
